strike,ce_ltp,ce_oi,ce_oi_chg,ce_vol,ce_iv,pe_ltp,pe_oi,pe_oi_chg,pe_vol,pe_iv
24000,650.5,125000,5200,34000,14.2,45.3,98000,-3200,28000,14.8
24100,575.2,110000,4100,31000,13.9,55.1,92000,-2800,26000,14.5
24200,500.0,102000,3800,29500,13.5,68.2,85000,-2500,24000,14.1
24300,428.3,95000,3200,28000,13.1,85.4,78000,-2100,22000,13.8
24400,360.1,88000,2900,26500,12.7,108.9,72000,-1800,20500,13.4
24500,295.7,82000,2500,25000,12.3,138.5,67000,-1500,19000,13.0
24600,238.2,75000,1800,23500,12.0,175.2,61000,-1200,17500,12.6
24700,186.5,68000,1200,21800,11.7,220.0,55000,-900,16000,12.3
24800,142.8,60000,800,20000,11.4,272.5,49000,-600,14500,12.0
24900,106.3,52000,400,18200,11.1,332.1,43000,-300,13000,11.7
25000,77.2,44000,100,16500,10.8,399.8,37000,100,11500,11.5
25100,54.5,36000,-200,14800,10.5,475.0,31000,300,10200,11.2
25200,37.8,28000,-400,13200,10.2,557.2,25000,500,9000,11.0
25300,25.3,21000,-600,11500,9.9,646.5,19000,700,7800,10.8
25400,16.5,15000,-800,10000,9.6,742.8,14000,800,6500,10.6
25500,10.5,10000,-900,8500,9.3,846.1,9000,900,5200,10.4
